"사건 제어 블록, 事件制御-, Event Control Block, ECB",,컴퓨터 운영 체계(OS)에서 사건의 상태를 나타내는 데 사용되는 제어 블록.
"세그먼트별 할인 요금, -別 割引料金, Bargain Price Per Segment",,가입자가 자신의 이동 전화 사용 패턴에 맞춰 요금제를 선택함으로써 요금을 절감할 수 있는 요금 제도. 이동 통신 요금 할인 방법 중 하나다.
"세그먼트 부재, -不在, segment fault",,"구분화나 페이지 세그먼트 등의 가상 기억 장치 기법을 쓸 경우, 현재 실행하려고 하는 세그먼트가 주기억 장치에 적재되어 있지 않을 때 발생하는 오류."
"세그먼트 주소 공간, -住所空間, segmented address space",,"메모리를 논리적 세그먼트로 나눈 주소 공간. 세그먼트와 그 오프셋에 의해 메모리 주소를 정하는 것으로, 특정 메모리 위치에 접근하기 위해 프로그램은 세그먼트 공간과 오프셋을 지정해야 한다. 16비트 개인용 컴퓨터(PC)는 64KB 세그먼트로 나누어진 세그먼트 주소 공간 메모리를 사용하며, 각 세그먼트 레지스터는 항상 찾아가야 할 세그먼트의 기준을 제시하고 있다."
"세그먼트 탐색 인수, -探索因數, Segment Search Argument, SSA",,한 세그먼트 형에 대한 선정 조건을 명시한 것. 일반적으로 세그먼트 이름과 조건들로 구성된다.
"세그먼트 프로그램, segmented program",,"세그먼트로 나누어져 쓰인 프로그램. 하나 또는 몇 개의 세그먼트만이 주기억 장치에 들어갈 수 있으며, 주기억 장치 내의 세그먼트가 보조 기억 장치에 있는 다른 세그먼트를 호출하면 호출된 세그먼트는 이미 주기억 장치에 들어 있는 세그먼트와 대치되어 적재된다."
"세대 관리, 世代管理, generation management",,"프로그램이나 데이터를 보존할 때의 관리 방식 중 하나. 소프트웨어 분야에서 프로그램이나 데이터의 보존은 중요한 문제지만, 보통 그것들은 파일로서 외부 기억 장치에 기록, 보존, 관리된다. 파일의 현시점에서의 상태가 기록, 보존됨으로써, 그 뒤 파일이 갱신되어도 파일의 복원은 가능하다. 이와 같이 복수 시점(갱신될 때마다)에서의 상태를 기록, 보존하는 데 따라 갱신 뒤에도 필요한 상태로 복원하는 것이 가능하다. 복수 시점의 상태를 세대라 하며, 보존 관리하는 상태 수에 따라서 2세대 관리, 3세대 관리 등으로 부른다."
"세대 데이터 집합군, 世代-集合群, Generation Data Set Group, GDG",,"정기적인 작성 또는 갱신을 하는 데이터 집합의 각 세대를, 목록 관리 기능을 이용하여 같은 이름으로 관리할 때의 데이터군의 집합. 데이터 처리 시스템에 독립적인 표현으로서는 세대 데이터군을 사용한다."
"세대 번호, 世代番號, generation number",,자기 테이프나 파일 레이블에 포함되어 파일의 나이를 나타내는 번호. 자기 테이프에 있는 데이터를 갱신하여 사본을 만들 경우 원본과 사본의 파일 이름은 같으나 사본에서는 이 발생 번호가 다르다.
"세대 파일군, 世代-群, generation file group",,"정기적인 작성 또는 갱신을 하는 파일의 각 세대를, 목록 관리 기능을 이용하여 같은 이름으로 관리할 때의 파일의 집합."
"세라믹 필터, ceramic filter",,세라믹 진동자를 주 요소로 하여 설계된 필터. 수정에 비하여 비대역폭이 큰 필터 구성이 가능하다. 전압의 변화를 기계 진동으로 변환하여 다시 전기 에너지로 돌린다. 따라서 LC로 구성한 필터에 비하여 소형이며 갱년 변화가 적은 무조정 필터가 실현된다. 455kHz/10.7MHz의 중간 주파 필터로 널리 사용되고 있다.
"세라소이드 변조, -變調, serrasoid modulation",,"톱니파와 변조 신호를 비교하여 펄스 위치를 변조하고, 필터로 연속파를 만드는 각도 변조. 즉, 수정 발진기로 제어된 톱니파 발생 회로의 출력을 변조기에 넣은 다음 따로 이 변조기에 변조 신호를 가하여 펄스폭 변조파를 만들고, 이 파형을 미분하여 다음의 펄스 발생 회로에서 변조 신호의 진폭에 대응하는 펄스 위치 변조파를 얻는다. 다음의 주파수 체배기에서는 이 펄스로부터 기본파 또는 적당한 고조파 성분을 끄집어내어 정현파의 피변조파를 얻는다."
"세로 덧붙임 검사, -檢査, Longitudinal Redundancy Check, LRC",,"전송된 문자에 대해 배타적 논리합(EOR)을 누적하여 그 결과에 근거를 둔 오류 검색 기법. 한 블록을 전송하는 동안에 송수신국 각각에서 세로 덧붙임 검사(LRC) 문자가 형성된다. 그 결과를 블록 검사 문자라고 하며, 블록 내의 마지막 문자로서 전송된다. 전송된 블록 검사 문자는 수신국에서 계산한 블록 검사 문자와 비교하여 같을 경우 그 블록이 오류 없이 전송되었음을 나타낸다."
"세로 덧붙임 검사 문자, -檢査文字, Longitudinal Redundancy Check Character, LRCC",,전송 오류를 파악하기 위하여 패리티를 검사하는 시스템에서 하나의 블록을 형성하는 자료들이 그 후미에 가지고 있는 문자. 이 문자는 블록 내의 모든 비트 위치에 대하여 패리티 검사를 함으로써 생성된다.
"세로 방향, -方向, portrait",,프린터에서 세로의 길이가 가로의 길이보다 긴 방향으로 출력되는 것. 즉 화면이나 프린터에 인쇄되는 방향과 수직이 되는 방향이다. 보통의 모니터는 가로가 더 길지만 전자 출판(DTP)에 사용하는 모니터는 세로 방향이 더 길어서 인쇄되는 모양을 화면을 축소하지 않고도 미리 볼 수 있다. 가로 방향(landscape)의 상대 개념이다.
"세로 시간 부호, -時間符號, Longitudinal Time Code, LTC",,"비디오 테이프의 오디오 트랙의 바깥쪽에 있는 세로로 길게 기록 가능한 별도의 트랙에 기록하는 시간 부호. 60Hz의 주파수를 갖는 오디오 신호와 비슷한 형태의 펄스 부호로, 세로로 길게 기록되는 특성으로 인하여 정속 재생이나 고속으로 빨리 감기나 되감기를 할 때 검출되며, 정지하였을 때는 검출되지 않는다. 이 때문에 대부분의 업무용 비디오카세트 녹화기(VCR)에서는 정속 재생 이하의 속도나 정지 시에도 검출되는 수직 귀선 기간 시간 부호(VITC)와 같은 시간 부호를 병용하여 사용한다."
"세로 전류 방지 코일, -電流防止-, longitudinal retardation coil",,"동축 쌍으로 속이 빈 공심(空心) 코일을 만들고, 세로 전류에 대하여 인덕턴스가 있는 고주파의 펄스성 잡음을 저지하는 코일. 방식에 따라서는 광대역 변성기와 함께 사용하여 고주파나 저주파의 세로 전류 잡음을 방지하고 있다."
"세로 중복, -重複, longitudinal redundance",,"레코드의 트랙별 또는 행렬 비트의 합이 짝수(혹은 홀수)가 아닌 상태. 이 용어는 보통 자기 테이프의 레코드에 대해 언급할 때 쓰이며, 시스템은 항상 짝수 또는 홀수 패리티를 갖게 된다."
"세로파, -波, longitudinal wave",,"매질 내의 각 점의 입자 변위 방향이 전파 방향과 일치하는 파. 예를 들면, 음파는 공기 밀도가 높은 부분과 낮은 부분을 통과할 때 진행 방향에 따라 서로 겹칠 수 있는데 이것은 공기 분자가 진행 방향에서 진동하고 있기 때문이다. 이와 같은 공기 중의 세로파에 대해서 물속의 파는 가로파[橫波]라 할 수 있다."
"세마포어, semaphore",,"철도의 까치발 신호기 또는 해군의 수기 신호라는 뜻으로, 복수의 작업을 동시에 병행하여 수행하는 운영 체제(또는 프로그래밍)에서 공유 자원에 대한 접속을 제어하기 위하여 사용되는 신호. 병행 내지 병렬로 동작되는 둘 이상의 프로세스 사이에서 마이크로프로세서 시간이나 입출력 접속구(port)와 같은 공유 자원을 동시에 사용할 수 없기 때문에, 한 프로세스가 사용하고 있는 동안에 세마포어를 세워서 다른 프로세스를 대기시키고 사용이 끝나면 해제시키는 방법으로 사용한다."
"세미 네트워크 게임, semi network game",,"네트워크 게임과 자립형(stand alone) 게임의 중간 형태라고 할 수 있으며, 게임을 내려받기해 싱글 게임처럼 즐기다가 대전이나 커뮤니티 참여 등을 위해 필요할 때만 네트워크에 접속하는 형태의 모바일 게임. 싱글 게임의 한계, 즉 용량 제한 및 자립형 방식으로 인한 단순성을 해결할 수 있다. 매번 네트워크에 접속하는 네트워크형 게임과는 달리 필요할 때만 네트워크에 접속하기 때문에 비용에 대한 부담을 줄일 수 있다는 것이 특징이다."
"세부적 설계, 細部的設計, detailed design",,"설계의 3단계인 외부적인 설계, 구조적인 설계, 내부적인 설계 중 내부적인 설계를 의미하는 말. 정확한 알고리듬과 자료 구조를 상세하게 설명하고 각 사항들의 인터페이스를 더 세부적으로 구성한다."
"세빗, Center for Bureau Information, Telecommunication, CeBIT",,"독일에서 열리는 정보 통신 기술 전시회. 이 전시회는 이동 통신, 유무선 네트워크 등의 통신 분야에 초점을 맞추고 있으며, 기술 시장의 환경을 가늠할 수 있다. 미국의 컴덱스와 함께 정보 통신 분야의 대표적인 전시회이다. 컴덱스는 컴퓨터 및 소프트웨어 분야에, 세빗은 통신 분야에 주력한다는 점에서 차별화되고 있다."
"세선화, 細線化, thinning",,"본래 선분으로 구성되어 있는 것이 확실한 정보라 하더라도 화상으로 표시하는 경우에는 반드시 굵기가 있는 선으로 표현되는데, 이 굵기를 갖는 선 도형으로부터 이상적인 선의 정보를 추출하기 위한 전처리(前處理)로서 선 도형의 굵기를 가늘게 하는 조작. 또 면 도형의 백과 또는 경계를 추출하는 조작을 경계 추출이라 한다."
"세션, session",동의어 : 작업시간,①망 환경에서 사용자 간 또는 컴퓨터 간의 대화를 위한 논리적 연결. ②프로세스들 사이에 통신을 수행하기 위해서 메시지 교환을 통해 서로를 인식한 이후부터 통신을 마칠 때까지의 기간.
"세션 간 제어 장치, -間制御裝置, Session Border Controller, SBC",,"VoIP 네트워크에서 발신자와 수신자간 시그널링과 트래픽 관리, 네트워크 연동 등의 지원 기능를 수행하는 장치. VoIP peering을 지원하는 장치의 하나로서, 사업자와 사업자 또는 액세스망에 위치하여 네트워크 보호, 음성 및 데이터 등 미디어의 암호화 및 복호화, 접속 제어, 트래픽 관리, IPv4/IPv6 간 인터워킹, 네트워크간 프로토콜 연동 등의 종합 기능을 수행하여, VoIP 네트워크의 융통성과 효율성을 향상시키는 역할을 담당한다."
"세션 개시 프로토콜, -開始-, Session Initiation Protocol, SIP",,"인터넷상에서 통신하고자 하는 지능형 단말들이 서로를 식별하여 그 위치를 찾고, 그들 상호간에 멀티미디어 통신 세션을 생성하거나 삭제 변경하기 위한 절차를 명시한 응용 계층의 시그널링 프로토콜. 인터넷 기반 회의, 전화, 음성 메일, 이벤트 통지, 인스턴트 메시징 등 멀티미디어 서비스 세션의 생성과 수정, 종료를 제어하는 request/response 구조로서 TCP와 UDP에 모두 사용할 수 있으며, 각 사용자들을 구분하기 위해 이메일 주소와 비슷한 SIP URL을 사용함으로서 IP주소에 종속되지 않고 서비스를 제공받는다. HTTP와 SMTP의 많은 부분을 그대로 사용하여 개발된 텍스트 기반이므로 구현이 용이하며, 인터넷에서 사용되는 다른 많은 프로토콜과 결합하여 다양한 서비스들을 만들 수 있는 유연성과 확장성이 있다. ITU-T의 H.323에 대응되는 보다 간편한 프로토콜로서 1999년에 IETF MMUSIC (Multiparty Multimedia Session Control) 워킹그룹에 의해 RFC 2543으로 제안된 이후 별도로 분리된 ITEF SIP 워킹그룹에서 개정작업을 진행하여 2002년 7월 RFC3261 표준이 제정되었다."
